Test ID,Description,Priority,Coverage Target,Status
SSU_TIME_005,Mode transition timing,Medium,Configuration timing,Planned
SSU_TIME_006,Interrupt response timing,Medium,Latency measurement,Planned
SSU_PERF_001,Maximum transfer rate verification,High,Performance limits,Planned
SSU_PERF_002,Consecutive transfer efficiency,High,Throughput testing,Planned
SSU_PERF_003,Clock jitter tolerance,Medium,Robustness,Planned
SSU_PERF_004,Power consumption in different modes,Low,Power analysis,Planned
SSU_CORNER_001,Mode changes during active transfer,High,Race conditions,Planned
SSU_CORNER_002,Register access during data transfer,High,Concurrent access,Planned
SSU_CORNER_003,Clock frequency changes during operation,Medium,Dynamic reconfiguration,Planned
SSU_CORNER_004,Minimum and maximum data lengths,High,Boundary conditions,Planned
SSU_CORNER_005,Back-to-back register writes,Medium,Write timing,Planned
SSU_CORNER_006,Reset during active transfer,High,Reset handling,Planned
SSU_CORNER_007,Module stop/start sequences,Medium,Power control,Planned
SSU_STRESS_001,Extended operation test (1M+ transfers),Medium,Reliability,Planned
SSU_STRESS_002,Random configuration changes,Medium,Robustness,Planned
SSU_STRESS_003,Maximum interrupt rate handling,Medium,Interrupt processing,Planned
SSU_STRESS_004,Thermal stress simulation,Low,Environmental conditions,Planned
